index,val
0,0
1,3
2,12
3,19
4,27
5,33
6,40
7,46
8,52
9,58
10,63
11,69
12,74
13,79
14,84
15,89
16,94
17,98
18,103
19,107
20,111
21,115
22,119
23,123
24,127
25,130
26,134
27,137
28,140
29,144
30,147
31,150
32,152
33,155
34,158
35,161
36,164
37,166
38,169
39,171
40,173
41,176
42,178
43,180
44,182
45,184
46,186
47,188
48,190
49,192
50,193
51,195
52,197
53,198
54,200
55,201
56,203
57,204
58,206
59,207
60,208
61,210
62,211
63,212
64,213
65,214
66,216
67,217
68,218
69,219
70,220
71,221
72,221
73,222
74,223
75,224
76,225
77,226
78,226
79,227
80,228
81,229
82,229
83,230
84,231
85,231
86,232
87,233
88,233
89,234
90,234
91,235
92,236
93,236
94,237
95,237
96,238
97,238
98,239
99,239
100,240
101,240
102,240
103,241
104,241
105,241
106,242
107,242
108,243
109,243
110,243
111,244
112,244
113,244
114,244
115,245
116,245
117,245
118,245
119,246
120,246
121,246
122,246
123,247
124,247
125,247
126,247
127,248
128,248
129,248
130,248
131,248
132,248
133,249
134,249
135,249
136,249
137,249
138,249
139,249
140,249
141,250
142,250
143,250
144,250
145,250
146,250
147,251
148,251
149,251
150,251
151,251
152,251
153,252
154,252
155,252
156,252
157,252
158,252
159,252
160,252
161,252
162,252
163,252
164,252
165,252
166,252
167,252
168,253
169,253
170,253
171,253
172,253
173,253
174,253
175,253
176,253
177,253
178,253
179,253
180,253
181,253
182,253
183,253
184,253
185,253
186,253
187,253
188,253
189,253
190,254
191,254
192,254
193,254
194,254
195,254
196,254
197,254
198,254
199,254
200,254
201,254
202,254
203,254
204,254
205,254
206,254
207,254
208,254
209,254
210,254
211,254
212,254
213,254
214,254
215,254
216,254
217,254
218,254
219,254
220,254
221,254
222,254
223,254
224,254
225,255
226,255
227,255
228,255
229,255
230,255
231,255
232,255
233,255
234,255
235,255
236,255
237,255
238,255
239,255
240,255
241,255
242,255
243,255
244,255
245,255
246,255
247,255
248,255
249,255
250,255
251,255
252,255
253,255
254,255
255,255
256,254
257,254
258,254
259,254
260,254
261,255
262,255
263,255
264,255
265,255
266,255
267,255
268,255
269,255
270,255
271,255
272,255
273,255
274,255
275,255
276,255
277,255
278,255
279,255
280,255
281,255
282,255
283,255
284,255
285,255
286,255
287,255
288,255
289,255
290,255
291,255
292,255
293,255
294,255
295,255
296,255
297,255
298,255
299,255
300,255
301,255
302,255
303,255
304,255
305,255
306,255
307,255
308,255
309,255
310,255
311,255
312,255
313,255
314,255
315,255
316,255
317,255
318,255
319,255
320,255
321,255
322,255
323,255
324,255
325,255
326,255
327,255
328,255
